Protein_1	Protein_2	Type	Score
NP_015466.1	NP_011651.3	None	0
NP_010296.3	NP_014091.1	None	0
NP_014147.1	NP_012867.1	None	0
NP_009475.1	NP_014403.3	None	0
NP_009359.1	NP_011718.1	None	0
NP_011608.1	NP_014837.1	None	0
NP_012356.2	NP_012543.3	None	0
NP_014579.1	NP_012467.1	None	0
NP_014451.1	NP_010665.3	None	0
NP_013739.1	NP_015007.1	None	0
NP_116674.2	NP_011075.3	None	0
NP_009403.1	NP_011674.3	None	0
NP_009399.2	NP_010232.1	None	0
NP_015502.1	NP_013651.1	None	0
NP_010661.3	NP_116647.1	None	0
NP_014496.2	NP_014108.1	None	0
NP_012934.1	NP_010903.3	None	0
NP_013482.1	NP_013189.1	None	0
NP_015227.1	NP_014418.3	None	0
NP_014147.1	NP_014718.1	None	0
NP_011372.3	NP_013283.1	None	0
NP_015502.1	NP_075206.1	None	0
NP_015509.1	NP_010922.1	None	0
NP_014827.3	NP_014853.3	None	0
NP_015466.1	NP_013188.1	None	0
NP_013189.1	NP_012355.1	None	0
NP_011824.1	NP_012190.1	None	0
NP_010462.3	NP_012466.1	None	0
NP_014548.1	NP_015081.1	None	0
NP_011110.1	NP_014181.1	None	0
NP_014246.1	NP_010890.3	None	0
NP_013631.1	NP_013283.1	None	0
NP_009398.1	NP_015209.1	None	0
NP_013167.1	NP_011075.3	None	0
NP_012592.1	NP_012395.1	None	0
NP_013848.1	NP_014078.1	None	0
NP_013364.1	NP_013914.1	None	0
NP_013860.1	NP_011889.1	None	0
NP_012619.1	NP_014548.1	None	0
NP_011037.3	NP_010753.1	None	0
NP_010736.3	NP_012743.1	None	0
NP_009790.3	NP_013860.1	None	0
NP_116686.3	NP_010507.3	None	0
NP_015187.1	NP_013482.1	None	0
NP_014393.1	NP_014981.1	None	0
NP_012056.1	NP_014931.3	None	0
NP_014292.3	NP_009403.1	None	0
NP_011734.3	NP_010476.1	None	0
NP_011619.3	NP_015341.1	None	0
NP_010744.3	NP_013739.1	None	0
NP_015007.1	NP_009399.2	None	0
NP_015312.1	NP_014621.1	None	0
NP_116579.1	NP_011641.1	None	0
NP_012190.1	NP_010476.1	None	0
NP_015099.1	NP_011018.1	None	0
NP_009815.1	NP_013487.1	None	0
NP_014579.1	NP_015458.1	None	0
NP_011889.1	NP_010584.1	None	0
NP_012732.1	NP_011309.1	None	0
NP_009380.1	NP_014297.3	None	0
NP_014718.1	NP_013866.1	None	0
NP_012724.1	NP_011733.3	None	0
NP_009469.2	NP_009495.1	None	0
NP_012602.3	NP_013631.1	None	0
NP_011777.3	NP_013793.1	None	0
NP_011568.3	NP_013995.1	None	0
NP_009668.3	NP_012732.1	None	0
NP_009735.3	NP_014981.1	None	0
NP_011037.3	NP_012150.1	None	0
NP_009403.1	NP_012395.1	None	0
NP_012412.1	NP_011956.1	None	0
NP_011110.1	NP_014695.1	None	0
NP_012476.1	NP_015324.1	None	0
NP_014860.1	NP_014451.1	None	0
NP_014246.1	NP_015218.1	None	0
NP_009382.2	NP_014900.3	None	0
NP_009380.1	NP_011568.3	None	0
NP_011535.1	NP_010507.3	None	0
NP_010498.1	NP_014837.1	None	0
NP_013408.1	NP_010784.1	None	0
NP_014512.1	NP_012148.1	None	0
NP_011280.1	NP_012194.1	None	0
NP_013958.1	NP_012867.1	None	0
NP_014008.1	NP_012869.1	None	0
NP_014078.1	NP_010665.3	None	0
NP_009495.1	NP_011372.3	None	0
NP_010498.1	NP_011026.3	None	0
NP_013385.1	NP_010529.3	None	0
NP_010098.1	NP_013188.1	None	0
NP_012395.1	NP_012151.1	None	0
NP_014934.1	NP_010736.3	None	0
NP_014498.1	NP_009585.1	None	0
NP_012514.2	NP_012607.1	None	0
NP_011372.3	NP_014498.1	None	0
NP_116681.1	NP_014003.1	None	0
NP_013395.1	NP_009795.3	None	0
NP_116710.1	NP_014634.1	None	0
NP_010017.2	NP_009667.1	None	0
NP_012639.1	NP_012802.1	None	0
NP_116710.1	NP_012548.1	None	0
NP_014852.1	NP_116684.3	None	0
NP_010461.3	NP_010674.3	None	0
NP_011935.1	NP_014895.2	None	0
NP_009772.1	NP_009807.3	None	0
NP_011937.1	NP_014403.3	None	0
NP_010128.1	NP_011777.3	None	0
NP_010661.3	NP_013652.1	None	0
NP_014803.1	NP_010529.3	None	0
NP_009815.1	NP_009730.3	None	0
NP_015081.1	NP_014208.1	None	0
NP_012070.3	NP_013725.1	None	0
NP_011309.1	NP_010569.3	None	0
NP_010745.3	NP_015312.1	None	0
NP_009840.3	NP_014246.1	None	0
NP_009732.1	NP_014392.3	None	0
NP_011641.1	NP_015187.1	None	0
NP_012568.1	NP_010715.3	None	0
NP_015315.1	NP_012481.3	None	0
NP_011778.1	NP_012467.1	None	0
NP_014818.1	NP_011068.1	None	0
NP_013482.1	NP_012639.1	None	0
NP_010296.3	NP_013206.1	None	0
NP_015461.1	NP_010890.3	None	0
NP_015228.1	NP_014914.1	None	0
NP_012898.1	NP_012355.1	None	0
NP_013201.1	NP_010584.1	None	0
NP_013963.1	NP_012533.1	None	0
NP_010476.1	NP_015284.1	None	0
NP_015106.1	NP_012476.1	None	0
NP_015302.1	NP_012412.1	None	0
NP_014579.1	NP_010529.3	None	0
NP_015398.1	NP_014649.1	None	0
NP_010219.1	NP_012656.1	None	0
NP_009471.1	NP_013739.1	None	0
NP_010436.3	NP_012724.1	None	0
NP_011703.3	NP_013924.1	None	0
NP_015113.1	NP_010938.1	None	0
NP_013487.1	NP_011641.1	None	0
NP_013360.1	NP_013522.1	None	0
NP_012809.1	NP_014120.1	None	0
NP_010490.1	NP_010181.2	None	0
NP_012467.1	NP_013860.1	None	0
NP_010890.3	NP_015324.1	None	0
NP_012533.1	NP_013360.1	None	0
NP_011762.1	NP_012535.3	None	0
NP_014888.1	NP_009807.3	None	0
NP_011777.3	NP_010490.1	None	0
NP_013777.1	NP_011641.1	None	0
NP_012505.1	NP_013283.1	None	0
NP_011516.1	NP_010079.1	None	0
NP_015176.1	NP_012395.1	None	0
NP_116625.1	NP_015156.1	None	0
NP_116686.3	NP_013239.1	None	0
NP_013737.1	NP_013795.1	None	0
NP_010346.3	NP_014108.1	None	0
NP_010584.1	NP_011018.1	None	0
NP_013613.1	NP_013344.1	None	0
NP_011090.3	NP_012355.1	None	0
NP_010942.1	NP_012712.1	None	0
NP_015129.1	NP_013714.1	None	0
NP_010490.1	NP_014561.1	None	0
NP_012533.1	NP_012578.3	None	0
NP_009655.2	NP_013188.1	None	0
NP_013008.3	NP_013703.1	None	0
NP_014451.1	NP_015398.1	None	0
NP_010745.3	NP_010346.3	None	0
NP_011613.3	NP_011068.1	None	0
NP_015302.1	NP_014579.1	None	0
NP_116686.3	NP_012743.1	None	0
NP_013364.1	NP_011068.1	None	0
NP_012672.1	NP_011372.3	None	0
NP_010219.1	NP_014353.1	None	0
NP_013395.1	NP_012724.1	None	0
NP_013502.3	NP_014156.2	None	0
NP_011651.3	NP_012126.1	None	0
NP_009820.1	NP_010692.3	None	0
NP_014403.3	NP_012677.1	None	0
NP_009475.1	NP_009410.1	None	0
NP_014357.1	NP_009380.1	None	0
NP_012150.1	NP_012823.2	None	0
NP_015461.1	NP_009790.3	None	0
NP_010870.1	NP_013995.1	None	0
NP_010552.3	NP_013603.1	None	0
NP_015502.1	NP_014853.3	None	0
NP_116659.1	NP_014561.1	None	0
NP_010674.3	NP_013777.1	None	0
