Protein	GO
NP_009305.1	GO:0046872
NP_009305.1	GO:0045277
NP_009305.1	GO:0055114
NP_009305.1	GO:0015990
NP_009305.1	GO:0070469
NP_009305.1	GO:0006123
NP_009305.1	GO:0009060
NP_009305.1	GO:0016020
NP_009305.1	GO:0020037
NP_009305.1	GO:0016021
NP_009305.1	GO:0005743
NP_009305.1	GO:0006119
NP_009305.1	GO:0005739
NP_009305.1	GO:0005751
NP_009305.1	GO:0004129
NP_009305.1	GO:0016491
NP_009310.1	GO:0006278
NP_009310.1	GO:0090615
NP_009310.1	GO:0005739
NP_009310.1	GO:0006315
NP_009310.1	GO:0003964
NP_009310.1	GO:0055114
NP_009310.1	GO:0006397
NP_009309.1	GO:0004129
NP_009309.1	GO:0020037
NP_009309.1	GO:0016021
NP_009309.1	GO:0006278
NP_009309.1	GO:0022900
NP_009309.1	GO:0006315
NP_009309.1	GO:0003964
NP_009309.1	GO:0006314
NP_009309.1	GO:0006397
NP_009309.1	GO:0090615
NP_009309.1	GO:0055114
NP_009309.1	GO:0005739
NP_009309.1	GO:1902600
NP_009309.1	GO:0009060
NP_009308.2	GO:0004518
NP_009308.2	GO:0006314
NP_009308.2	GO:0006123
NP_009308.2	GO:0005739
NP_009308.2	GO:0008380
NP_009308.2	GO:0016787
NP_009308.2	GO:0020037
NP_009308.2	GO:0004129
NP_009308.2	GO:0006397
NP_009308.2	GO:0004519
NP_009308.2	GO:0009060
NP_009308.2	GO:0090305
NP_009308.2	GO:0015990
NP_009308.2	GO:0005751
NP_009308.2	GO:0016020
NP_009308.2	GO:0016021
NP_009308.2	GO:0008150
NP_009308.2	GO:0055114
NP_009307.2	GO:0009060
NP_009307.2	GO:0015990
NP_009307.2	GO:0005751
NP_009307.2	GO:0016021
NP_009307.2	GO:0055114
NP_009307.2	GO:0020037
NP_009307.2	GO:0006123
NP_009307.2	GO:0004518
NP_009307.2	GO:0006397
NP_009307.2	GO:0016787
NP_009307.2	GO:0006314
NP_009307.2	GO:0004519
NP_009307.2	GO:0004129
NP_009307.2	GO:0008380
NP_009307.2	GO:0090305
NP_009307.2	GO:0005739
NP_009306.1	GO:0004129
NP_009306.1	GO:0004518
NP_009306.1	GO:0055114
NP_009306.1	GO:0016787
NP_009306.1	GO:0090305
NP_009306.1	GO:0005751
NP_009306.1	GO:0004519
NP_009306.1	GO:0006314
NP_009306.1	GO:0020037
NP_009306.1	GO:0008380
NP_009306.1	GO:0015990
NP_009306.1	GO:0006397
NP_009306.1	GO:0006123
NP_009306.1	GO:0009060
NP_009306.1	GO:0005739
NP_009306.1	GO:0006316
NP_009306.1	GO:0016021
NP_009306.1	GO:0016020
NP_009311.2	GO:0006314
NP_009311.2	GO:0003674
NP_009311.2	GO:0016787
NP_009311.2	GO:0003723
NP_009311.2	GO:0000372
NP_009311.2	GO:0004519
NP_009311.2	GO:0004518
NP_009311.2	GO:0008150
NP_009311.2	GO:0003677
NP_009311.2	GO:0004536
NP_009311.2	GO:0005739
NP_009311.2	GO:0034337
NP_009311.2	GO:0090305
NP_009312.1	GO:0031966
NP_009312.1	GO:0015986
NP_009312.1	GO:0000276
NP_009312.1	GO:0015078
NP_009312.1	GO:0016021
NP_009312.1	GO:0005739
NP_009312.1	GO:0006754
NP_009312.1	GO:0046933
NP_009312.1	GO:0045263
NP_009312.1	GO:0006811
NP_009312.1	GO:0016020
NP_009312.1	GO:0099132
NP_009313.1	GO:0000276
NP_009313.1	GO:0015078
NP_009313.1	GO:0005739
NP_009313.1	GO:0016021
NP_009313.1	GO:0045263
NP_009313.1	GO:0015986
NP_009313.1	GO:0099132
NP_009313.1	GO:0046933
NP_009313.1	GO:0006754
NP_009313.1	GO:0016020
NP_009313.1	GO:0006811
NP_009313.1	GO:0045259
NP_009313.1	GO:0005753
NP_009313.1	GO:0005743
NP_009315.1	GO:0008121
NP_009315.1	GO:0009055
NP_009315.1	GO:0016491
NP_009315.1	GO:0046872
NP_009315.1	GO:0016021
NP_009315.1	GO:0070469
NP_009315.1	GO:0005750
NP_009315.1	GO:0045153
NP_009315.1	GO:0005739
NP_009315.1	GO:0016020
NP_009315.1	GO:0045275
NP_009315.1	GO:0006122
NP_009315.1	GO:0009060
NP_009315.1	GO:0005743
NP_009315.1	GO:0022904
NP_009315.1	GO:0055114
NP_009318.1	GO:0005739
NP_009318.1	GO:0004519
NP_009318.1	GO:0008380
NP_009318.1	GO:0009055
NP_009318.1	GO:0016021
NP_009318.1	GO:0016491
NP_009318.1	GO:0016020
NP_009318.1	GO:0005743
NP_009318.1	GO:0090305
NP_009318.1	GO:0006397
NP_009318.1	GO:0004518
NP_009318.1	GO:0022904
NP_009317.1	GO:0006397
NP_009317.1	GO:0005739
NP_009317.1	GO:0016020
NP_009317.1	GO:0090305
NP_009317.1	GO:0005743
NP_009317.1	GO:0022904
NP_009317.1	GO:0009055
NP_009317.1	GO:0016491
NP_009317.1	GO:0090615
NP_009317.1	GO:0008380
NP_009317.1	GO:0003723
NP_009317.1	GO:0000372
NP_009317.1	GO:0016021
NP_009317.1	GO:0004519
NP_009316.1	GO:0000372
NP_009316.1	GO:0003723
NP_009316.1	GO:0005739
NP_009316.1	GO:0006397
NP_009316.1	GO:0008380
NP_009316.1	GO:0004519
NP_009316.1	GO:0090615
NP_009316.1	GO:0090305
NP_009316.1	GO:0016787
NP_009319.1	GO:0031966
NP_009319.1	GO:0006811
NP_009319.1	GO:0046933
NP_009319.1	GO:0015986
NP_009319.1	GO:0033177
NP_009319.1	GO:0016020
NP_009319.1	GO:0005739
NP_009319.1	GO:0000276
NP_009319.1	GO:0008289
NP_009319.1	GO:0016021
NP_009319.1	GO:0016887
NP_009319.1	GO:0015991
NP_009319.1	GO:0015078
NP_009319.1	GO:0045263
NP_009320.1	GO:0006412
NP_009320.1	GO:0005840
NP_009320.1	GO:0032543
NP_009320.1	GO:0005761
NP_009320.1	GO:0005763
NP_009320.1	GO:0005739
NP_009320.1	GO:0003735
NP_009324.1	GO:0004518
NP_009324.1	GO:0006397
NP_009324.1	GO:0006314
NP_009324.1	GO:0090305
NP_009324.1	GO:0016787
NP_009324.1	GO:0008380
NP_009324.1	GO:0004519
NP_009324.1	GO:0005739
NP_009326.1	GO:0016021
NP_009326.1	GO:0046872
NP_009326.1	GO:1902600
NP_009326.1	GO:0004129
NP_009326.1	GO:0070469
NP_009326.1	GO:0055114
NP_009326.1	GO:0005743
NP_009326.1	GO:0006123
NP_009326.1	GO:0022900
NP_009326.1	GO:0009060
NP_009326.1	GO:0042773
NP_009326.1	GO:0005751
NP_009326.1	GO:0005739
NP_009326.1	GO:0016491
NP_009326.1	GO:0016020
NP_009326.1	GO:0005507
NP_009327.1	GO:0005739
NP_009327.1	GO:0034337
NP_009327.1	GO:0008150
NP_009327.1	GO:0006259
NP_009327.1	GO:0003723
NP_009327.1	GO:0004536
NP_009327.1	GO:0003674
NP_009327.1	GO:0004519
NP_009327.1	GO:0090305
NP_009327.1	GO:0000372
NP_009327.1	GO:0003677
NP_009328.1	GO:0005739
NP_009328.1	GO:0055085
NP_009328.1	GO:0009060
NP_009328.1	GO:0015002
NP_009328.1	GO:0015453
NP_009328.1	GO:0004129
NP_009328.1	GO:0005751
NP_009328.1	GO:0009055
NP_009328.1	GO:1902600
NP_009328.1	GO:0006123
NP_009328.1	GO:0016491
NP_009328.1	GO:0005743
NP_009328.1	GO:0022904
NP_009328.1	GO:0019646
NP_009328.1	GO:0055114
NP_009328.1	GO:0016020
NP_009328.1	GO:0016021
NP_009400.1	GO:0001002
NP_009400.1	GO:0006384
NP_009400.1	GO:0001004
NP_009400.1	GO:0071168
NP_009400.1	GO:0000995
NP_009400.1	GO:0008301
NP_009400.1	GO:0042791
NP_009400.1	GO:0006383
NP_009400.1	GO:0005739
NP_009400.1	GO:0003677
NP_009400.1	GO:0000127
NP_009400.1	GO:0005634
NP_009400.1	GO:0001003
NP_009400.1	GO:0070898
NP_009399.2	GO:0015031
NP_009399.2	GO:0043495
NP_009399.2	GO:0032511
NP_009399.2	GO:0016192
NP_009399.2	GO:0046872
NP_009399.2	GO:0006886
NP_009399.2	GO:0033263
NP_009399.2	GO:0005794
NP_009399.2	GO:0005770
NP_009399.2	GO:0016020
NP_009399.2	GO:0006623
NP_009399.2	GO:0051020
NP_009399.2	GO:0005795
NP_009398.1	GO:0006414
NP_009398.1	GO:0005853
NP_009398.1	GO:0003746
NP_009398.1	GO:0006412
NP_009398.1	GO:0006449
NP_009398.1	GO:0032232
NP_009398.1	GO:1990145
NP_009398.1	GO:0005085
NP_009396.2	GO:0035617
NP_009396.2	GO:0006606
NP_009396.2	GO:0016887
NP_009396.2	GO:0005524
NP_009396.2	GO:0042026
NP_009396.2	GO:0051787
NP_009396.2	GO:0005576
NP_009396.2	GO:0006986
NP_009396.2	GO:0002181
NP_009396.2	GO:0006626
NP_009396.2	GO:0051082
NP_009396.2	GO:0042623
NP_009396.2	GO:0000166
NP_009396.2	GO:0016192
NP_009396.2	GO:0000049
NP_009396.2	GO:0005618
NP_009396.2	GO:0006616
NP_009396.2	GO:0034605
NP_009396.2	GO:0034620
NP_009396.2	GO:0006457
NP_009396.2	GO:0031072
NP_009396.2	GO:0005737
NP_009396.2	GO:0000209
NP_009396.2	GO:0043161
NP_009396.2	GO:0005829
NP_009396.2	GO:0005844
NP_009396.2	GO:0009277
NP_009396.2	GO:0000329
NP_009396.2	GO:0044183
NP_009396.2	GO:0090344
NP_009396.2	GO:0005634
NP_009396.2	GO:0005886
NP_009396.2	GO:0072318
NP_009396.2	GO:0051085
NP_009395.1	GO:0016021
NP_009395.1	GO:0006621
NP_009395.1	GO:0007030
NP_009395.1	GO:0006888
NP_009395.1	GO:0016020
NP_009395.1	GO:0003674
NP_009395.1	GO:0005789
NP_009395.1	GO:0030134
NP_009395.1	GO:0016192
NP_009395.1	GO:0015031
NP_009395.1	GO:0005794
NP_009395.1	GO:0005793
NP_009395.1	GO:0006886
NP_009395.1	GO:0005783
NP_009394.1	GO:0016020
NP_009394.1	GO:0005741
NP_009394.1	GO:0031307
NP_009394.1	GO:0055091
NP_009394.1	GO:0016021
NP_009394.1	GO:0000422
NP_009394.1	GO:0003674
NP_009394.1	GO:0005739
NP_009394.1	GO:0007005
NP_009393.1	GO:0016020
NP_009393.1	GO:0030435
NP_009393.1	GO:0071595
NP_009393.1	GO:1903740
NP_009393.1	GO:0031965
NP_009393.1	GO:0006629
NP_009393.1	GO:0005783
NP_009393.1	GO:0005634
NP_009393.1	GO:0006470
NP_009393.1	GO:0004721
NP_009393.1	GO:0006998
NP_009393.1	GO:0016021
NP_009393.1	GO:0005789
NP_009393.1	GO:0071072
NP_009392.2	GO:0005739
NP_009392.2	GO:0000002
NP_009392.2	GO:0031307
NP_009392.2	GO:0070096
NP_009392.2	GO:0005741
NP_009392.2	GO:0016020
NP_009392.2	GO:0007005
NP_009392.2	GO:0003674
NP_009392.2	GO:0016021
NP_009392.2	GO:0015914
NP_009392.2	GO:0051654
NP_009392.2	GO:0032865
NP_009392.2	GO:0001401
NP_009392.2	GO:0045040
NP_009392.2	GO:1990456
NP_009391.2	GO:0043486
NP_009391.2	GO:0006338
NP_009391.2	GO:0003674
NP_009391.2	GO:0006325
NP_009391.2	GO:0000812
NP_009391.2	GO:0005634
NP_009391.2	GO:0005739
