Protein_1	Protein_2	Type	Score
NP_010777.3	NP_013204.1	binding	983
NP_013109.1	NP_014017.1	binding	912
NP_011386.2	NP_014262.3	binding	928
NP_009694.3	NP_014547.1	binding	193
NP_012602.3	NP_013795.1	binding	932
NP_116656.1	NP_012040.1	binding	900
NP_010611.3	NP_011344.1	binding	985
NP_010476.1	NP_013408.1	binding	206
NP_010322.1	NP_011687.1	binding	282
NP_010321.1	NP_012934.1	binding	181
NP_013248.1	NP_015261.1	binding	267
NP_013360.1	NP_015111.1	binding	267
NP_009367.1	NP_013009.1	binding	900
NP_009664.1	NP_011747.2	binding	606
NP_011586.1	NP_013341.1	binding	224
NP_010737.1	NP_013847.1	binding	985
NP_015335.1	NP_015341.1	binding	608
NP_010476.1	NP_011382.1	binding	172
NP_012883.1	NP_013794.1	binding	985
NP_011362.3	NP_012325.1	binding	968
NP_011956.1	NP_014338.3	binding	900
NP_010254.1	NP_015419.1	binding	537
NP_011731.3	NP_013879.1	binding	907
NP_010597.3	NP_015381.1	binding	985
NP_010728.1	NP_013412.1	binding	651
NP_010524.3	NP_011688.3	binding	201
NP_012543.3	NP_015493.1	binding	879
NP_012599.3	NP_013741.1	binding	655
NP_009984.1	NP_116654.1	binding	911
NP_012501.1	NP_014017.1	binding	861
NP_010244.1	NP_014566.1	binding	903
NP_010715.3	NP_015085.1	binding	197
NP_014091.1	NP_015313.1	binding	900
NP_010624.3	NP_011859.1	binding	982
NP_015262.1	NP_015435.1	binding	248
NP_012602.3	NP_012809.1	binding	985
NP_010326.1	NP_012017.1	binding	296
NP_010223.1	NP_014093.1	binding	270
NP_011321.1	NP_014377.1	binding	158
NP_011321.1	NP_014377.1	binding	955
NP_010372.3	NP_013109.1	binding	910
NP_011308.1	NP_014853.3	binding	940
NP_009810.3	NP_015312.1	binding	985
NP_009761.4	NP_011314.2	binding	985
NP_009712.1	NP_012897.3	binding	985
NP_011848.1	NP_014393.1	binding	365
NP_014221.3	NP_015312.1	binding	380
NP_011445.1	NP_013172.1	binding	284
NP_011078.3	NP_013618.1	binding	720
NP_013487.1	NP_014608.1	binding	985
NP_013707.1	NP_014493.1	binding	610
NP_009780.1	NP_011709.1	binding	989
NP_013513.3	NP_014267.1	binding	947
NP_010756.3	NP_014357.1	binding	536
NP_013341.1	NP_014403.3	binding	286
NP_010167.1	NP_012201.1	binding	461
NP_010313.3	NP_014508.1	binding	900
NP_009704.1	NP_012472.1	binding	879
NP_013956.1	NP_014214.1	binding	275
NP_014003.1	NP_014811.3	binding	153
NP_116654.1	NP_012466.1	binding	911
NP_011780.3	NP_014811.3	binding	870
NP_009816.1	NP_012018.1	binding	303
NP_013611.1	NP_014837.1	binding	901
NP_012540.3	NP_014904.3	binding	922
NP_013956.1	NP_014930.1	binding	920
NP_012636.1	NP_013794.1	binding	985
NP_010066.1	NP_116579.1	binding	388
NP_010064.1	NP_012242.1	binding	334
NP_011848.1	NP_013834.1	binding	910
NP_012426.1	NP_014093.1	binding	272
NP_014451.1	NP_015341.1	binding	910
NP_011445.1	NP_014151.1	binding	317
NP_010281.1	NP_013374.1	binding	396
NP_009635.1	NP_013725.1	binding	776
NP_011702.1	NP_014292.3	binding	489
NP_011736.1	NP_012018.1	binding	280
NP_010167.1	NP_012122.3	binding	173
NP_009370.1	NP_012584.3	binding	921
NP_012395.1	NP_014853.3	binding	985
NP_116659.1	NP_015085.1	binding	266
NP_011078.3	NP_011892.1	binding	651
NP_010693.3	NP_014214.1	binding	867
NP_010426.1	NP_011362.3	binding	982
NP_009404.1	NP_009616.1	binding	984
NP_009704.1	NP_009810.3	binding	985
NP_011761.3	NP_013007.1	binding	696
NP_009975.1	NP_010693.3	binding	670
NP_012123.1	NP_015513.1	binding	966
NP_011711.3	NP_012426.1	binding	660
NP_010661.3	NP_011733.3	binding	284
NP_011702.1	NP_015335.1	binding	267
NP_009872.1	NP_010585.3	binding	900
NP_011613.3	NP_013341.1	binding	258
NP_011597.1	NP_012951.1	binding	995
NP_011956.1	NP_013956.1	binding	361
NP_010254.1	NP_010232.1	binding	198
NP_010737.1	NP_011053.1	binding	820
NP_116650.1	NP_012450.1	binding	865
NP_009701.3	NP_013879.1	binding	333
NP_011075.3	NP_012988.1	binding	684
NP_011607.3	NP_013218.1	binding	590
NP_009398.1	NP_011608.1	binding	321
NP_013093.1	NP_015469.1	binding	900
NP_009704.1	NP_013956.1	binding	355
NP_116666.1	NP_012941.1	binding	903
NP_010216.1	NP_010818.1	binding	731
NP_009810.3	NP_014093.1	binding	928
NP_009806.3	NP_012018.1	binding	928
NP_009872.1	NP_013727.1	binding	900
NP_010117.1	NP_013341.1	binding	191
NP_010877.3	NP_011562.1	binding	296
NP_009810.3	NP_011731.3	binding	910
NP_014802.3	NP_015419.1	binding	952
NP_011848.1	NP_013293.1	binding	227
NP_012951.1	NP_015443.1	binding	163
NP_012892.1	NP_013341.1	binding	272
NP_010079.1	NP_014793.1	binding	264
NP_014286.1	NP_015335.1	binding	973
NP_012778.1	NP_013105.1	binding	267
NP_010587.1	NP_012927.3	binding	975
NP_116641.1	NP_015089.1	binding	900
NP_009717.1	NP_011597.1	binding	610
NP_010704.1	NP_015111.1	binding	993
NP_009616.1	NP_014217.1	binding	900
NP_010877.3	NP_011089.4	binding	977
NP_010476.1	NP_012875.2	binding	404
NP_012749.1	NP_014436.1	binding	911
NP_014217.1	NP_014893.1	binding	163
NP_010017.2	NP_015089.1	binding	606
NP_011906.1	NP_013298.1	binding	191
NP_009551.2	NP_013811.1	binding	942
NP_009975.1	NP_014262.3	binding	235
NP_116674.2	NP_014271.3	binding	667
NP_010717.1	NP_014093.1	binding	336
NP_013866.1	NP_014904.3	binding	923
NP_010745.3	NP_011457.1	binding	943
NP_010715.3	NP_012154.1	binding	197
NP_012190.1	NP_015433.1	binding	985
NP_009872.1	NP_014633.1	binding	967
NP_010682.3	NP_012070.3	binding	985
NP_014359.3	NP_014867.1	binding	902
NP_011617.1	NP_014849.3	binding	982
NP_012845.1	NP_014633.1	binding	901
NP_009365.1	NP_013007.1	binding	900
NP_009780.1	NP_015064.1	binding	606
NP_009365.1	NP_009704.1	binding	293
NP_010737.1	NP_014324.3	binding	985
NP_009365.1	NP_010326.1	binding	317
NP_013611.1	NP_013963.1	binding	965
NP_011769.1	NP_011892.1	binding	985
NP_015437.1	NP_015470.1	binding	910
NP_010597.3	NP_015203.1	binding	997
NP_013408.1	NP_014392.3	binding	286
NP_014286.1	NP_014853.3	binding	972
NP_014633.1	NP_015470.1	binding	985
NP_014853.3	NP_015513.1	binding	985
NP_010406.3	NP_014508.1	binding	376
NP_010529.3	NP_014382.1	binding	193
NP_013552.3	NP_015361.1	binding	985
NP_010296.3	NP_013204.1	binding	983
NP_011997.1	NP_013441.1	binding	475
NP_012843.1	NP_015361.1	binding	985
NP_011386.2	NP_012472.1	binding	879
NP_011848.1	NP_014147.1	binding	290
NP_011617.1	NP_014788.1	binding	900
NP_010276.3	NP_014853.3	binding	361
NP_013341.1	NP_015089.1	binding	206
NP_010345.3	NP_013093.1	binding	900
NP_013102.1	NP_014289.1	binding	900
NP_011547.3	NP_012991.3	binding	900
NP_010461.3	NP_116699.3	binding	198
NP_010277.1	NP_014800.3	binding	985
NP_010942.1	NP_014904.3	binding	930
NP_010682.3	NP_012533.1	binding	985
NP_010870.1	NP_116696.2	binding	158
NP_013811.1	NP_014324.3	binding	985
NP_011037.3	NP_015147.1	binding	309
NP_013737.1	NP_014527.1	binding	694
NP_010707.3	NP_015158.1	binding	879
NP_011892.1	NP_012190.1	binding	985
NP_012190.1	NP_013784.1	binding	197
NP_010079.1	NP_014619.1	binding	295
NP_009370.1	NP_013633.1	binding	327
NP_011037.3	NP_014853.3	binding	303
NP_013763.1	NP_014126.1	binding	522
NP_013763.1	NP_014126.1	binding	985
NP_009975.1	NP_014013.1	binding	321
NP_013846.1	NP_014292.3	binding	920
NP_009389.3	NP_013791.1	binding	900
NP_012864.1	NP_013379.1	binding	940
NP_012778.1	NP_015203.1	binding	361
NP_012526.1	NP_014670.1	binding	571
NP_010079.1	NP_011447.1	binding	311
NP_012138.1	NP_015381.1	binding	237
NP_012035.1	NP_012584.3	binding	905
NP_009404.1	NP_015488.1	binding	962
NP_013218.1	NP_013317.1	binding	271
NP_116647.1	NP_013374.1	binding	362
NP_009827.3	NP_014214.1	binding	884
NP_014393.1	NP_014093.1	binding	338
NP_010223.1	NP_015057.1	binding	900
NP_010942.1	NP_116664.1	binding	907
NP_010055.1	NP_010524.3	binding	911
NP_010414.3	NP_012599.3	binding	281
NP_010693.3	NP_011903.1	binding	474
NP_010692.3	NP_012865.1	binding	985
NP_013309.1	NP_013999.1	binding	364
NP_013834.1	NP_015366.1	binding	720
NP_010624.3	NP_015081.1	binding	365
NP_009975.1	NP_014093.1	binding	338
NP_013834.1	NP_014855.3	binding	400
NP_013451.1	NP_015454.1	binding	260
NP_010529.3	NP_014154.1	binding	676
NP_010322.1	NP_013486.3	binding	307
NP_012728.1	NP_013218.1	binding	293
NP_010223.1	NP_013811.1	binding	900
NP_011956.1	NP_014224.2	binding	198
NP_014527.1	NP_015425.1	binding	694
NP_011308.1	NP_011302.1	binding	309
NP_011605.1	NP_014262.3	binding	204
NP_010253.2	NP_116699.3	binding	220
NP_010888.1	NP_014867.1	binding	985
NP_013065.1	NP_014643.1	binding	206
NP_116696.2	NP_015335.1	binding	268
NP_014904.3	NP_015428.1	binding	985
NP_013064.1	NP_013967.1	binding	976
NP_011534.1	NP_015345.1	binding	760
NP_013264.1	NP_015517.1	binding	788
NP_010449.1	NP_014517.1	binding	800
NP_009929.1	NP_011576.1	binding	204
NP_010287.1	NP_014149.1	binding	475
NP_009365.1	NP_014434.1	binding	295
NP_014338.3	NP_014289.1	binding	900
NP_013102.1	NP_015113.1	binding	910
NP_011734.3	NP_012292.3	binding	900
NP_010737.1	NP_013811.1	binding	985
NP_013298.1	NP_013617.1	binding	985
NP_010326.1	NP_013737.1	binding	772
NP_010125.1	NP_010877.3	binding	426
NP_009806.3	NP_010345.3	binding	720
NP_011736.1	NP_011903.1	binding	712
NP_010514.3	NP_015432.1	binding	934
NP_009755.1	NP_014926.1	binding	406
NP_010914.3	NP_011743.2	binding	457
NP_010459.1	NP_116617.1	binding	230
NP_010133.1	NP_012823.2	binding	985
NP_014393.1	NP_014793.1	binding	879
NP_010065.2	NP_010938.1	binding	336
NP_013847.1	NP_015313.1	binding	900
NP_010611.3	NP_013298.1	binding	985
NP_011645.3	NP_014382.1	binding	199
NP_010888.1	NP_015174.1	binding	669
NP_011519.3	NP_015381.1	binding	966
NP_009392.2	NP_011296.1	binding	976
NP_116696.2	NP_015435.1	binding	270
NP_011743.2	NP_012599.3	binding	263
NP_010304.3	NP_010373.3	binding	678
NP_010692.3	NP_012123.1	binding	966
NP_012913.3	NP_013218.1	binding	957
NP_009370.1	NP_013218.1	binding	996
NP_009872.1	NP_014434.1	binding	293
NP_014328.3	NP_014785.3	binding	574
NP_009752.3	NP_013172.1	binding	980
NP_014262.3	NP_015081.1	binding	321
NP_011661.2	NP_014930.1	binding	914
NP_009712.1	NP_015335.1	binding	974
NP_012426.1	NP_014267.1	binding	972
NP_012918.1	NP_014784.1	binding	272
NP_011577.3	NP_013703.1	binding	997
NP_011386.2	NP_011859.1	binding	985
NP_013126.1	NP_015106.1	binding	951
NP_013714.1	NP_014608.1	binding	296
NP_012332.1	NP_012913.3	binding	951
NP_011020.3	NP_014902.3	binding	985
NP_011607.3	NP_013064.1	binding	590
NP_011447.1	NP_011903.1	binding	479
NP_014003.1	NP_014767.3	binding	224
NP_010715.3	NP_011314.2	binding	606
NP_010376.3	NP_014040.1	binding	751
NP_010946.3	NP_011520.2	binding	926
NP_012989.3	NP_015305.1	binding	363
NP_009841.1	NP_014147.1	binding	879
NP_010715.3	NP_015007.1	binding	985
NP_010674.3	NP_010877.3	binding	224
NP_014017.1	NP_015156.1	binding	902
NP_010736.3	NP_014217.1	binding	154
NP_010692.3	NP_015381.1	binding	966
NP_012243.3	NP_012778.1	binding	319
NP_116659.1	NP_013784.1	binding	266
NP_013109.1	NP_014262.3	binding	224
NP_010737.1	NP_012466.1	binding	985
NP_009917.1	NP_011382.1	binding	238
NP_009404.1	NP_010287.1	binding	336
NP_012018.1	NP_013705.1	binding	235
NP_015260.1	NP_015241.1	binding	309
NP_116636.1	NP_011645.3	binding	982
NP_012424.1	NP_014670.1	binding	819
NP_013298.1	NP_014091.1	binding	900
NP_010253.2	NP_013175.1	binding	900
NP_010696.3	NP_011110.1	binding	418
NP_014091.1	NP_015437.1	binding	910
NP_011472.1	NP_015494.1	binding	355
NP_009975.1	NP_014221.3	binding	342
NP_011639.3	NP_012526.1	binding	199
NP_013764.1	NP_014565.2	binding	900
NP_012395.1	NP_013703.1	binding	982
NP_013987.1	NP_014040.1	binding	927
NP_011736.1	NP_012532.3	binding	183
NP_012504.3	NP_015170.1	binding	896
NP_010330.1	NP_015435.1	binding	974
NP_010460.1	NP_015312.1	binding	982
NP_116710.1	NP_012533.1	binding	985
NP_011966.1	NP_015315.1	binding	762
NP_116636.1	NP_015513.1	binding	962
NP_012501.1	NP_012535.3	binding	752
NP_010300.3	NP_012892.1	binding	206
NP_012831.1	NP_013647.1	binding	158
NP_010652.3	NP_013218.1	binding	979
NP_012018.1	NP_014849.3	binding	761
NP_011859.1	NP_013602.1	binding	338
NP_010859.1	NP_012426.1	binding	808
NP_012466.1	NP_014262.3	binding	267
NP_116636.1	NP_011451.1	binding	274
NP_011617.1	NP_013103.1	binding	956
NP_010877.3	NP_011098.3	binding	920
NP_011516.1	NP_013846.1	binding	944
NP_012070.3	NP_012532.3	binding	197
NP_012040.1	NP_012916.1	binding	900
NP_116684.3	NP_013647.1	binding	828
NP_013764.1	NP_014017.1	binding	957
NP_010277.1	NP_015433.1	binding	985
NP_013363.1	NP_013924.1	binding	564
NP_012426.1	NP_013323.1	binding	985
NP_012035.1	NP_015335.1	binding	224
NP_014793.1	NP_015312.1	binding	761
NP_010304.3	NP_010761.3	binding	152
NP_009635.1	NP_013879.1	binding	272
NP_013298.1	NP_014633.1	binding	967
NP_009664.1	NP_010531.1	binding	625
NP_012017.1	NP_015081.1	binding	338
NP_010345.3	NP_014017.1	binding	900
NP_009365.1	NP_014849.3	binding	900
NP_015323.1	NP_015499.1	binding	303
NP_010223.1	NP_012426.1	binding	910
NP_010717.1	NP_014003.1	binding	260
NP_009356.1	NP_010704.1	binding	172
NP_010447.3	NP_014154.1	binding	658
NP_013924.1	NP_014624.1	binding	988
NP_014013.1	NP_014221.3	binding	319
NP_014788.1	NP_015437.1	binding	900
NP_012018.1	NP_013109.1	binding	224
NP_010665.3	NP_013629.1	binding	720
NP_116636.1	NP_012728.1	binding	319
NP_009717.1	NP_013201.1	binding	508
NP_010748.3	NP_012897.3	binding	920
NP_010365.3	NP_013500.3	binding	967
NP_009655.2	NP_014132.1	binding	267
NP_009365.1	NP_011392.1	binding	948
NP_011586.1	NP_014132.1	binding	224
NP_010578.3	NP_010624.3	binding	235
NP_011075.3	NP_011445.1	binding	947
NP_009621.3	NP_013633.1	binding	337
NP_012070.3	NP_014904.3	binding	985
NP_012273.1	NP_014547.1	binding	985
NP_013204.1	NP_014138.1	binding	971
NP_010339.1	NP_010551.1	binding	242
NP_010321.1	NP_014093.1	binding	781
NP_012017.1	NP_013879.1	binding	265
NP_116696.2	NP_015513.1	binding	275
