Protein	S.cerevisiae	A.fumigatus	C.neoformans	C.parapsilosis	F.graminearum	S.bayanus	L.kluyveri	S.mikatae	S.paradoxus	M.oryzae	N.crassa	S.pombe	A.nidulans	C.glabrata	C.albicans	N.castellii	N.discreta	N.tetrasperma	S.kudriavzevii
NP_014671.1	0.0455187094771	NA	NA	NA	NA	NA	0.0390520409728	NA	0.0455187094771	NA	NA	NA	NA	NA	NA	0.0959499903117	NA	NA	0.176379646729
NP_010373.3	0.017444873754900003	0.005509371843289999	0.0146609016236	0.00995281753785	0.0404450051916	0.032867648524700005	0.040171459223099996	0.032867648524700005	0.017444873754900003	0.0056890392861400005	0.0588150568672	0.0197940054499	0.0547615592685	0.00754543185297	0.014439555314799998	0.0234472169744	0.0588150568672	0.0588150568672	0.0219809366272
NP_012890.1	0.021855340253400003	0.0258805232219	0.00686670370373	0.009334488036419999	0.0317803841667	0.00559312877795	0.00274743220972	0.00559312877795	0.021855340253400003	0.007072169778390001	0.00513876294645	0.0718817712628	0.0156916316768	0.0284290332223	0.00155074696398	0.0339763480095	0.00513876294645	0.00513876294645	0.0123042100439
NP_013302.1	0.020496871392099998	0.00158198114154	NA	0.0167575051909	0.04482814658340001	0.00708813061771	0.0427593827175	0.00708813061771	0.020496871392099998	0.00362293925758	0.030320586224500002	0.0078374300462	0.0237761062406	0.0232013041565	0.0390405758248	0.0523958369495	0.030320586224500002	0.030320586224500002	0.00890482493016
NP_010280.1	0.0144661364791	0.0173306160066	0.0151751908433	0.001328602267	0.0471256126974	0.0441358903815	0.0111092458656	0.0441358903815	0.0144661364791	0.00267685689925	0.128628850035	0.0654556823257	0.0030719275194300002	0.0651713782789	0.0244222808733	0.032663694002999996	0.128628850035	0.128628850035	0.0479734456117
NP_010332.3	0.0199462765766	0.00747388317702	0.0244745095242	0.013046958631799999	0.011914216993400001	0.0162500535028	0.0170454906265	0.0162500535028	0.0199462765766	0.00235408818125	0.014715129301100001	0.0006063823969419999	0.0169080399169	0.0327624832757	0.0042625240265	0.0312011023337	0.014715129301100001	0.014715129301100001	0.00972672044993
NP_015513.1	0.0404209833635	0.030560638764400003	0.0123895033671	0.00957755911958	0.012070583990200001	0.0167155966374	0.026880101933400003	0.0167155966374	0.0404209833635	0.0161580396429	0.0660175591101	0.0189904508852	0.047156167208000005	0.05923691673669999	0.006394613238560001	0.037668140287199996	0.0660175591101	0.0660175591101	0.0290099876227
NP_012598.1	0.013793362335999999	0.0197758082383	0.00185287047332	0.00211996721837	0.00977687474125	0.023424050430600002	0.0404425182997	0.023424050430600002	0.013793362335999999	0.0011471614878599999	0.0195372154515	0.148285874714	0.0182556287595	0.018585670463099998	0.00299292923192	0.009397239359829999	0.0195372154515	0.0195372154515	0.012544079016
NP_010405.3	0.0176298400673	0.011509419632700002	0.013892745206500001	0.0325179998325	0.0572891257087	0.0149140431705	0.0033053732917399997	0.0149140431705	0.0176298400673	0.00512895766906	0.031586449863100004	0.029346598465499998	0.0341530915728	0.011819883933700003	0.0203720733766	0.0144001328384	0.031586449863100004	0.031586449863100004	0.0297512961477
NP_014839.1	0.0133610601371	0.0033929975758	0.0164779988497	0.0312579946165	0.07675106990689999	0.0451675544378	0.0296588731456	0.0451675544378	0.0133610601371	0.010692091868200002	0.00756127567102	0.009307399791690001	0.0168401882203	0.0288890222639	0.01174160527	0.08639259220069999	0.00756127567102	0.00756127567102	0.0252860014481
NP_013324.1	0.020179755658400002	NA	NA	0.048666870012800005	NA	0.015215860019399998	0.0098591378336	0.015215860019399998	0.020179755658400002	NA	NA	0.0697613674952	NA	0.0346640256004	0.0018527794437400002	0.017893899579499998	NA	NA	0.00802621905487
NP_013956.1	0.025226550765499997	0.0178855228221	0.0183186001232	0.0158449501457	0.00835690473054	0.0281351732478	0.0060759293671499995	0.0281351732478	0.025226550765499997	0.0111305609881	0.184934675503	0.0934950922634	0.0207155184854	0.017024899543399998	0.0126937724679	0.0516396482702	0.184934675503	0.184934675503	0.00622887021232
NP_010742.1	0.0239695841836	0.015159433210100002	0.00789535383467	0.017378511639599997	0.041979195989999996	0.04143802347	0.00224132356727	0.04143802347	0.0239695841836	0.0012783361294	0.011619369029200001	0.031055011825200003	0.013827696640399999	0.0273319180941	0.029513261837900002	0.0146990709916	0.011619369029200001	0.011619369029200001	0.0717946325976
NP_013493.2	0.0235830999248	0.029627051305	0.025117703135599998	0.021299691955	0.012653816389799998	0.015593218340100001	0.0354296335318	0.015593218340100001	0.0235830999248	0.0024519731469	0.12367273764699999	0.011670700778700001	0.0404173511896	0.00854159165312	0.0171722293056	0.0175053904987	0.12367273764699999	0.12367273764699999	0.0275068959386
NP_011075.3	0.0158164334328	0.0244036722351	0.0102145857704	0.011979375893600002	0.017281985234	0.00593963334341	0.016129377743599998	0.00593963334341	0.0158164334328	0.0018642764206700001	0.050831288077099995	0.0134415139421	0.0225228592863	0.029856639604599996	0.0035240158663800004	0.0023256288566500002	0.050831288077099995	0.050831288077099995	0.0538382913406
NP_014771.3	0.011247418327500001	0.007307344772119999	0.0127441935738	0.00664026098981	0.0227441319149	0.0679393315403	0.225841841752	0.0679393315403	0.011247418327500001	0.00381682052195	0.0597532587219	0.0404303449607	0.013901584776800001	0.0124562528471	0.0197450863481	0.318664876037	0.0597532587219	0.0597532587219	0.0169596421759
NP_013125.1	0.026943068980799997	0.00532273326132	0.005464993007689999	0.0238166492876	0.0189304827088	0.0339712608987	0.011511461745500001	0.0339712608987	0.026943068980799997	0.00296916511152	0.0205905312496	0.0364791548227	0.015359560033	0.008201956804289999	0.0071802684151900005	0.0101509952793	0.0205905312496	0.0205905312496	0.0251762585031
NP_010624.3	0.015810506951600002	0.0023800627377800004	0.0147938640597	0.024763640909700003	0.0274712998057	0.0518790250614	0.055716009207	0.0518790250614	0.015810506951600002	0.006132655291	0.0957152794436	0.0528838320457	0.021225821696099996	0.0203605383097	0.0312390181598	0.0249607753035	0.0957152794436	0.0957152794436	0.0234811433176
NP_011748.3	0.0185423022111	0.007414618103659999	0.00782255949723	NA	0.00140406801091	0.0270442269356	0.0420386299933	0.0270442269356	0.0185423022111	0.00781937794167	0.08891495380169999	0.0257910261554	0.0067779032807599995	NA	NA	0.024964988763	0.08891495380169999	0.08891495380169999	0.00556535327921
NP_013705.1	0.036812110924199996	NA	0.017858587669400003	0.040622108907499996	0.0501046018631	0.00242632368212	0.09945930910119999	0.00242632368212	0.036812110924199996	NA	0.050938231478199994	0.252763081168	0.0393692679312	0.035272972696	0.00744188931915	0.08259123933710001	0.050938231478199994	0.050938231478199994	0.089764489122
NP_011404.1	0.00964969045125	NA	NA	0.0132036785757	NA	0.0080033976239	0.0075244467335299995	0.0080033976239	0.00964969045125	NA	NA	0.015386681470500001	NA	0.035363567593900004	0.00102741408004	0.0104942398399	NA	NA	0.0327035757647
NP_010146.1	0.0553509468018	0.005337265022439999	0.00877136495169	0.0246994733311	0.0016378682533800001	0.027004231802599997	0.0214853644971	0.027004231802599997	0.0553509468018	0.0019678268586700003	0.134017677816	0.0269340947811	0.005925183150290001	0.026085035677299997	0.0383473774269	0.0433649549445	0.134017677816	0.134017677816	0.0317384648732
NP_013370.1	0.0153118790467	0.0120071130415	0.010363513684	0.012516781893	0.011892425448100001	0.0235184344646	0.014701608027600002	0.0235184344646	0.0153118790467	0.00985834252616	0.10507992492000001	0.0006134260184319999	NA	0.042472001688099996	0.0336338418828	0.0793820198299	0.10507992492000001	0.10507992492000001	0.00746038476629
NP_013605.1	0.007968795257270001	0.010494334001799999	0.0118991191481	0.0222139235978	0.030917392701500002	0.0848109155493	0.00400227152506	0.0848109155493	0.007968795257270001	0.000622033437228	0.0685051775402	0.0281474378849	0.0050705383108100004	0.010496732446299999	0.00379104144374	0.020228349131200002	0.0685051775402	0.0685051775402	0.00194375290613
